date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,start_order
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1880542,IKROMOVA Takhmina,Person,UZB,Uzbekistan,32.000,POINTS,4
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1978492,SALEH Aliaa,Person,EGY,Egypt,27.850,POINTS,5
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548948,KALEYN Boryana,Person,BUL,Bulgaria,32.900,POINTS,6
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548933,NIKOLOVA Stiliana,Person,BUL,Bulgaria,28.050,POINTS,7
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1941726,KIROI-BOGATYREVA Alexandra,Person,AUS,Australia,28.900,POINTS,8
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1891438,PIGNICZKI Fanni,Person,HUN,Hungary,30.450,POINTS,9
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1972352,AGHAMIROVA Zohra,Person,AZE,Azerbaijan,28.400,POINTS,10
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1923694,RAFFAELI Sofia,Person,ITA,Italy,35.000,POINTS,11
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1896230,VARFOLOMEEV Darja,Person,GER,Germany,32.650,POINTS,12
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1929613,TANIYEVA Elzhana,Person,KAZ,Kazakhstan,32.300,POINTS,13
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1935794,BAUTISTA Alba,Person,ESP,Spain,27.650,POINTS,14
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1897573,ONOFRIICHUK Taisiia,Person,UKR,Ukraine,33.750,POINTS,15
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1927514,WANG Zilu,Person,CHN,China,31.250,POINTS,16
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1540832,DRAGAN Annaliese,Person,ROU,Romania,31.650,POINTS,17
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1908246,ATAMANOV Daria,Person,ISR,Israel,32.400,POINTS,18
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1903509,KARBANOV Helene,Person,FRA,France,28.650,POINTS,19
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1980875,VEDENEEVA Ekaterina,Person,SLO,Slovenia,31.750,POINTS,20
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1935795,BEREZINA Polina,Person,ESP,Spain,32.450,POINTS,21
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1953668,DOMINGOS Barbara,Person,BRA,Brazil,31.700,POINTS,22
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1896203,KOLOSOV Margarita,Person,GER,Germany,33.800,POINTS,23
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000103,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 3,Qualification - Rotation 3,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1923695,BALDASSARRI Milena,Person,ITA,Italy,32.300,POINTS,24
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1959810,GRISKENAS Evita,Person,USA,United States,29.250,POINTS,1
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1958422,PHILAPHANDETH Praewa Misato,Person,LAO,Lao PDR,22.250,POINTS,2
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1555070,TUGOLUKOVA Vera,Person,CYP,Cyprus,28.800,POINTS,3
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1880542,IKROMOVA Takhmina,Person,UZB,Uzbekistan,30.350,POINTS,4
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1978492,SALEH Aliaa,Person,EGY,Egypt,27.000,POINTS,5
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548948,KALEYN Boryana,Person,BUL,Bulgaria,33.600,POINTS,6
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1548933,NIKOLOVA Stiliana,Person,BUL,Bulgaria,31.050,POINTS,7
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1941726,KIROI-BOGATYREVA Alexandra,Person,AUS,Australia,26.850,POINTS,8
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1891438,PIGNICZKI Fanni,Person,HUN,Hungary,31.650,POINTS,9
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1972352,AGHAMIROVA Zohra,Person,AZE,Azerbaijan,26.750,POINTS,10
2024-08-08T18:49:44+02:00,GRYW1AA---------------QUALA0000104,GRYW1AA,Individual All-Around,Individual All-Around Qualification - Rotation 4,Qualification - Rotation 4,FINISHED,W,Rhythmic Gymnastics,GRY,La Chapelle Arena,1923694,RAFFAELI Sofia,Person,ITA,Italy,33.950,POINTS,11
